query,location_lat,location_long,location_address
Abohar Punjab India,30.1450543,74.1956597,"Abohar, Abohar Tahsil, Fazilka District, Punjab, 152116, India"
Adilabad Telangana India,19.5,78.5,"Adilabad, Telangana, India"
Agartala Tripura India,23.8312377,91.2823821,"Agartala, Mohanpur, West Tripura, Tripura, 799001, India"
Agra Uttar Pradesh India,27.1752554,78.0098161,"Agra, Uttar Pradesh, 280001, India"
Ahmadnagar Maharashtra India,19.074352,74.7219979,"Ahmadnagar, Station Road, माळीवाडा गणपती, Ahmednagar, Maharashtra, 414001, India"
Ahmedabad Gujarat India,,,
Aizawl   Mizoram India,23.7435236,92.7382905,"Aizawl, Tlangnuam, Aizwal, Mizoram, 796190, India"
Ajmer Rajasthan India,26.4691,74.639,"Ajmer, Ajmer Tehsil, Ajmer, Rajasthan, India"
Akola Maharashtra India,20.76181225,77.19211567,"Akola, Maharashtra, India"
Alappuzha Kerala India,9.5006651,76.41241429,"Alappuzha, Kerala, India"
Aligarh Uttar Pradesh India,27.833333,78.166667,"Aligarh, Aligarh District, Uttar Pradesh, India"
Alipurduar West Bengal India,26.4851573,89.5246926,"Alipurduar, Alipurduar - I, Alipurduar, West Bengal, 736121, India"
Allahabad Uttar Pradesh India,25.4381302,81.8338005,"Prayagraj, Uttar Pradesh, 211001, India"
Alwar Rajasthan India,27.5,76.5,"Alwar, Alwar District, Rajasthan, India"
Ambala Haryana India,30.3843674,76.770421,"Ambala, Ambala Cantt, Ambala, Haryana, 134002, India"
Amaravati Maharashtra India,21.15454115,77.64429618,"Amravati, Maharashtra, India"
Amritsar Punjab India,31.6343083,74.8736788,"Amritsar, Amritsar I Tahsil, Amritsar, Punjab, 143001, India"
Asansol West Bengal India,23.6871297,86.9746587,"Asansol, Asansol Kulti Township, Paschim Bardhaman, West Bengal, India"
Aurangabad Maharashtra India,19.877263,75.3390241,"Aurangabad, Maharashtra, 431002, India"
Aurangabad Bihar India,24.786306,84.41448983,"Aurangabad, Aurangabad District, Bihar, India"
Bakshpur Uttar Pradesh India,,,
Bamanpuri Uttar Pradesh India,,,
Baramula Jammu and Kashmir India,34.566667,74.75,"Bāramūla, Bandipore district, Jammu and Kashmir, India"
Barddhaman West Bengal India,23.25,87.75,"Barddhamān, Purba Bardhaman, West Bengal, India"
Bareilly Uttar Pradesh India,28.416667,79.383333,"Bareilly, Bareilly District, Uttar Pradesh, India"
Belgaum Karnataka India,15.8572666,74.5069343,"Belagavi, Belagavi taluku, Belgaum district, Karnataka, 590001, India"
Bellary Karnataka India,15.1433952,76.9193876,"Ballari, Bellary taluk, Bellary district, Karnataka, 583101, India"
Bengaluru Karnataka India,12.9767936,77.590082,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India"
Bhagalpur Bihar India,25.2871758,87.13033088,"Bhagalpur, Bihar, India"
Bharatpur Rajasthan India,27.26521245,77.36912555,"Bharatpur, Rajasthan, India"
Bharauri Uttar Pradesh India,,,
Bhatpara West Bengal India,22.8571157,88.3971976,"Bhatpara, Barrackpur - I, North 24 Parganas, West Bengal, 743125, India"
Bhavnagar Gujarat India,21.7718836,72.1416449,"Bhavnagar, Bhavnagar Taluka, Bhavnagar District, Gujarat, 364001, India"
